From Currency|To Currency|Conversion Date|Conversion Rate|Conversion Type|User Conversion Type
USD|EUR|2022-06-23|0.951384264|Corporate|Corporate
EUR|USD|2023-06-05|1.06869999979513021003927353873547126262E00|Corporate|Corporate
USD|EUR|2022-06-15|0.958037938|Corporate|Corporate
PLN|USD|2022-06-14|0.232935118|Corporate|Corporate
USD|EUR|2022-07-07|0.956937799|Corporate|Corporate
USD|EUR|2022-10-10|1.027115859|Corporate|Corporate
PLN|USD|2022-09-01|0.211901918|Corporate|Corporate
USD|EUR|2022-09-01|0.997804829|Corporate|Corporate
GBP|USD|2022-09-02|1.1581|Corporate|Corporate
USD|EUR|2022-12-12|0.952380952|Corporate|Corporate
USD|EUR|2023-02-23|0.93835038|Corporate|Corporate
EUR|USD|2022-10-10|9.7359999968611136010119769750337386232E-01|Corporate|Corporate
USD|PLN|2022-09-01|4.71916445796399067987671541510067879612E00|Corporate|Corporate
EUR|USD|2022-09-01|1.00220000037702764014183779822135937969E00|Corporate|Corporate
EUR|USD|2022-07-07|1.04500000004702500000211612500009522563E00|Corporate|Corporate
EUR|USD|2022-06-23|1.05110000011520056001262598137738380756E00|Corporate|Corporate
USD|GBP|2022-09-02|8.6348329159830757274846731715741300406E-01|Corporate|Corporate
EUR|USD|2022-06-14|1.06840000007948896000591397862444000001E00|Corporate|Corporate
EUR|USD|2022-06-15|1.04380000032942328010396598720081166556E00|Corporate|Corporate
USD|PLN|2022-06-14|4.29304094885340560799423983806512163615E00|Corporate|Corporate
EUR|USD|2022-12-12|1.05000000042000000016800000006720000003E00|Corporate|Corporate
EUR|USD|2023-02-23|1.06570000003623380000123194920004188627E00|Corporate|Corporate
USD|EUR|2023-06-05|0.935716291|Corporate|Corporate
USD|EUR|2022-06-14|0.935979034|Corporate|Corporate
USD|CNY|2021-03-20|6.522850149|300000007815001|MRC Daily
USD|CNY|2021-03-21|6.522850149|300000007815001|MRC Daily
CNY|INR|2021-03-15|11.1531|300000007815001|MRC Daily
CNY|INR|2021-03-16|11.1531|300000007815001|MRC Daily
CNY|INR|2021-03-17|11.1531|300000007815001|MRC Daily
CNY|INR|2021-03-18|11.1531|300000007815001|MRC Daily
CNY|INR|2021-03-19|11.1531|300000007815001|MRC Daily
CNY|INR|2021-03-20|11.1531|300000007815001|MRC Daily
CNY|INR|2021-03-21|11.1531|300000007815001|MRC Daily
PLN|INR|2021-03-15|18.9009|300000007815001|MRC Daily
PLN|INR|2021-03-16|18.9009|300000007815001|MRC Daily
PLN|INR|2021-03-17|18.9009|300000007815001|MRC Daily
PLN|INR|2021-03-18|18.9009|300000007815001|MRC Daily
PLN|INR|2021-03-19|18.9009|300000007815001|MRC Daily
PLN|INR|2021-03-20|18.9009|300000007815001|MRC Daily
PLN|INR|2021-03-21|18.9009|300000007815001|MRC Daily
PLN|USD|2021-03-15|0.259806186|300000007815001|MRC Daily
PLN|USD|2021-03-16|0.259806186|300000007815001|MRC Daily
PLN|USD|2021-03-17|0.259806186|300000007815001|MRC Daily
PLN|USD|2021-03-18|0.259806186|300000007815001|MRC Daily
PLN|USD|2021-03-19|0.259806186|300000007815001|MRC Daily
PLN|USD|2021-03-20|0.259806186|300000007815001|MRC Daily
PLN|USD|2021-03-21|0.259806186|300000007815001|MRC Daily
